experiment_id,model,seed,config,checkpoint,test_result,status,notes
20260827_092925_maxvit_seed42_smoke_a0ee86,maxvit,42,configs/training.yaml,results\checkpoints\20260827_092925_maxvit_seed42_smoke_a0ee86\best.pt,,completed,smoke_test
20260827_093510_resnet50_seed42_smoke_dd881a,resnet50,42,configs/training.yaml,results\checkpoints\20260827_093510_resnet50_seed42_smoke_dd881a\best.pt,,completed,smoke_test
20260827_093706_resnet50_seed42_smoke_d788a9,resnet50,42,configs/training.yaml,results\checkpoints\20260827_093706_resnet50_seed42_smoke_d788a9\best.pt,,completed,smoke_test
20260827_093914_maxvit_seed42_65f791,maxvit,42,configs/training.yaml,results\checkpoints\20260827_093914_maxvit_seed42_65f791\best.pt,,completed,REAL_DATA_SANITY_CHECK_ONLY_not_a_completed_baseline_capped_at_3_batches_per_epoch_CPU_only_environment
20260827_094139_resnet50_seed42_smoke_503519,resnet50,42,configs/training.yaml,results\checkpoints\20260827_094139_resnet50_seed42_smoke_503519\best.pt,,completed,smoke_test
20260827_094610_resnet50_seed42_smoke_73f864,resnet50,42,configs/training.yaml,results\checkpoints\20260827_094610_resnet50_seed42_smoke_73f864\best.pt,,completed,smoke_test
20260827_100704_resnet50_seed42_smoke_0d1a47,resnet50,42,configs/training.yaml,results\checkpoints\20260827_100704_resnet50_seed42_smoke_0d1a47\best.pt,,completed,smoke_test
20260827_101146_resnet50_seed42_smoke_e5845f,resnet50,42,configs/training.yaml,results\checkpoints\20260827_101146_resnet50_seed42_smoke_e5845f\best.pt,,completed,smoke_test
20260827_101325_resnet50_seed42_smoke_ac1013,resnet50,42,configs/training.yaml,results\checkpoints\20260827_101325_resnet50_seed42_smoke_ac1013\best.pt,,completed,smoke_test
20260827_103548_resnet50_seed42_smoke_8674f3,resnet50,42,configs/training.yaml,results\checkpoints\20260827_103548_resnet50_seed42_smoke_8674f3\best.pt,,completed,smoke_test
